tiếng anh	English
tiếng việt	Vietnamese
tiếng đức	German
tiếng ả rập	Arabic
tiếng hà lan	Dutch
tiếng bỉ	Bulgarian
tiếng trung quốc	Chinese
tiếng croatia	Croatian
tiếng phần lan	Finnish
tiếng pháp	French
tiếng hy lạp	Greek
tiếng do thái	Hebrew
tiếng hin-đi	Hindi
tiếng Hungary	Hungarian
tiếng iceland	Icelandic
tiếng ý	Italian
tiếng nhật	Japanese
tiếng hàn quốc	Korean
tiếng na uy	Norwegian
tiếng ba tư	Persian
tiếng ba lan	Polish
tiếng bồ đào nha 	Portuguese
tiếng pujabi	Punjabi
tiếng rumani	Romanian
tiếng nga	Russian
tiếng tây ban nha	Spanish
tiếng thụy điển	Swedish
tiếng thổ nhĩ kỳ	Turkish
tiếng ukraina	Ukrainian
tiếng hawaii	Hawaiian
tiếng lào	Lao
tiếng thái	Thai
