hài	comedy
khoa học viễn tưởng	sci-fi
kinh dị	horror
viễn tây	western
chiến tranh	war
tình cảm	romance
ca nhạc	music
hoạt hình	animation
tội phạm	crime
chính kịch	drama
câm	silent
chính luận	drama
cổ trang	biography
chính trị	politics
về đồ chơi	toys
được giải thưởng awarded
giáng sinh	Christmas
giả tưởng	fiction
hình sự	thriller
ma	ghost
nghệ thuật	art
nhạc kịch	musical
phiêu lưu	adventure
giả tài liệu	documentary
hàng không	aviation
kỳ ảo	fantasy
siêu anh hùng	superhero
sử thi	epic
cho thiếu niên	teens
khiêu dâm	porn
lịch sử	history
dựa theo truyện cổ tích	mystery	
tâm lý	romance
thần thoại	mystery
thể thao	sport
tiểu sử	biography
tâm lý kinh dị	thriller
chiếu tết	tet
thảm họa	disaster
thiếu nhi	children
tình báo	spy
trinh thám	detective
võ hiệp	kung fu
hành động	action
phiêu lưu	adventure
truyền hình	drama
gia đình	family
ảo tưởng	fantasy
đen trắng	film-noir
âm nhạc	music
